,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,The Merry Cobbler,53.3384435,-6.2226996,€5.00,Daniel Purdy,14/9/2017,Daniel Purdy,14/09/2017,,,1,,,,,,,,,,,
,Reilly's,53.338273,-6.253665,€5.00,James Bingham,08/09/2017,Emmet Sheerin,19/10/2017,1,1,,,1,1,,,,,,,,
,Ryan's Lounge,53.336328,-6.2655559,€5.00,Colin O'Callaghan,17/09/2017,Colin O'Callaghan,17/09/2017,,,,1,,,,,,,,,,
,Jimmy Rabbite's,53.336069,-6.265536,€5.00,James Bingham,30/08/2017,James Bingham,30/08/2017,,1,,,1,,,,,,,,,
,Planet Murphy's,53.335976,-6.26568,€5.00,Robbie Mc Guinness,16/12/2017,Robbie Mc Guinness,16/12/2017,1,,,,,,,,,,,,,
,The Cusack Stand (Devitts),53.3355702,-6.2653919,€5.00,James Bingham,30/08/2017,James Bingham,30/08/2017,1,1,,,,,,,,,,,,
,Copper Face Jacks,53.335436,-6.2635091,€5.00,Marc O'Sullivan,30/10/2017,Marc O'Sullivan,30/10/2017,,,,,,,,,,,,,,
,Anseo,53.3353226,-6.264995,€5.00,James Bingham,3/12/2017,James Bingham,03/12/2017,,1,,,,,,,,,,,,
,The Fifty One,53.3346288,-6.2424252,€5.00,Colin O'Callaghan,25/08/2017,Andrew Donovan,02/12/2017,1,1,1,1,,,,,,,,1,,
,Cassidy's,53.3340323,-6.2650711,€5.00,Marc O'Sullivan,8/12/2017,Marc O'Sullivan,,,,,,,,,,,1,,,,
,Leeson Lounge,53.3313701,-6.2518794,€5.00,Andrew Donovan,2/12/2017,Andrew Donovan,02/12/2017,1,1,,,,,,,,,,1,,
,The Barge Bar,53.3305512,-6.2605878,€5.00,James Bingham,21/09/2017,James Bingham,21/09/2017,,1,,,,,,,,,,,,
,Bowery,53.3242854,-6.2651445,€5.00,Daniel Purdy,14/10/2017,Daniel Purdy,14/10/2017,,,1,,,,,,,,,,,
,Humphrey's,53.324153,-6.252272,€5.00,Robbie Mc Guinness,09/09/2017,Robbie Mc Guinness,09/09/2017,1,,,,,,,,,,,,,
,Jack Birchall's Ranelagh House,53.3233904,-6.2503391,€5.00,Other,30/11/2017,Other,30/11/2017,,,,,,,,,,,,,,
,McSorleys,53.3233007,-6.2500808,€5.00,Robbie Mc Guinness,09/09/2017,Robbie Mc Guinness,09/09/2017,1,,,,,,,,,,,,,
,Murphy's Lounge,53.3189936,-6.2646618,€5.00,James Bingham,1/12/2017,James Bingham,01/12/2017,1,1,,,,,,,,,,,,
,The Rathgar (The 108),53.31208,-6.274573,€5.00,Emmet Sheerin,05/09/2017,Emmet Sheerin,05/09/2017,,,,,,1,,,,,,,,
,The Bottler's Bank,53.3120217,-6.2749549,€5.00,Bill O'Clerigh,07/09/2017,Bill O'Clerigh,07/09/2017,,,,,1,,,,,,,,,
,The Dropping Well,53.3080461,-6.2548931,€5.00,Robbie Mc Guinness,25/11/2017,Robbie Mc Guinness,25/11/2017,1,,,,,,,,,,,,,
,The Goat Grill,53.292578,-6.2297743,€5.00,Simon Corbett,3/12/2017,Simon Corbett,03/12/2017,,,,,,,,,,,1,,,
,Brady's Shankill,53.2301668,-6.1243407,€5.00,James Bingham,6/12/2017,James Bingham,6/12/2017,,1,,,,,,,,,,,,
,The Market Bar,53.342111,-6.263953,€5.10,Robbie Mc Guinness,03/11/2017,Colin O'Callaghan,07/12/2017,1,1,,1,,,,,,,,,,
