,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,The Tram,53.3434972,-6.2905632,,,,,,,,,,,,,,,,,,,
,Bull & Castle,53.343428,-6.2698992,,,,,,,,,,,,,,,,,,,
,Hangar,53.3434027,-6.2625017,,,,,,,,,,,,,,,,,,,
,Cafe Bar H,53.3433861,-6.2388784,,,,,,,,,,,,,,,,,,,
,Padraig Pearse,53.3433273,-6.2447582,,,,,,,,,,,,,,,,,,,
,Agnes Browne's,53.3432707,-6.281063,,,,,,,,,,,,,,,,,,,
,The Old Stand,53.3431296,-6.2621909,,,,,,,,,,,,,,,,,,,
,The International,53.3431173,-6.2618563,,,,,,,,,,,,,,,,,,,
,The Exchequer,53.3431091,-6.2638694,,,,,,,,,,,,1,,,,,,,
,The Laurence Lounge,53.3430251,-6.3380349,,,,,,,,,,,,,,,,,,,
,The Malt House,53.3429392,-6.291006,,,,,,,,,,,,,,,,,,,
,Tom Kennedy's,53.3427402,-6.2772127,,,,,,,,,,,,,,,,,,,
,Baker's Bar & Irish Restaurant,53.3426678,-6.2789135,,,,,,,,,,,,,,,,,,,
,Sarsfield Racing Pigeon Club,53.342616,-6.3356959,,,,,,,,,,,,,,,,,,,
,Ruby Finnegan's,53.3425941,-6.3300954,,,,,,,,,,,,,,,,,,,
,Alfie's,53.342562,-6.262383,,,,,,,,,,,,,,,,,,,
,The Old Harbour,53.3424956,-6.2885758,,,,,,,,,,,,,,,,,,,
,Farrier and Draper,53.34249,-6.262202,,,,,,,,,,,,,,,,,,,
,Murray's Bar,53.3424449,-6.2968145,,,,,,,,,,,,,,,,,,,
,Kennys Lounge,53.3424332,-6.2944638,,,,,,,,,,,,,,,,,,,
,O' Shea's 79 Inn,53.3424148,-6.3589429,,,,,,,,,,,,,,,,,,,
,The Ship Wright Public House,53.3423779,-6.2276472,,,,,,,,,,,,,,,,,,,
,Downey's,53.3423356,-6.3571492,,,,,,,,,,,,,,,,,,,
,Chelsea Drugstore,53.3422564,-6.2643631,,,,,,,,,,,,,,,,,,,
,J. Grogan's,53.3422228,-6.2627154,,,,,,,,,,,,,,,,,,,
,Pygmalion,53.342172,-6.2623045,,,,,,,,,,,,,,,,,,,
,The Blarney Inn,53.3421258,-6.2548307,,,,,,,,,,,,,,,,,,,
,Club Nassau,53.3421151,-6.2547398,,,,,,,,,,,,,,,,,,,
,Gravity Bar,53.3420515,-6.2865388,,,,,,,,,,,,,,,,,,,
,The Bailey,53.3420138,-6.2594743,,,,,,,,,,,,,,,,,,,
C,Berlin,53.3419932,-6.2615257,,,,,,,,,,,,,,,,,,,
,Drury Buildings,53.34189,-6.263488,,,,,,,,,,,,,,,,,,,
,Davy Byrne's,53.3418397,-6.2593595,,,,,,,,,,,,,,,,,,,
,Ballyfermot Sports and Social Club,53.3418271,-6.3575331,,,,,,,,,,,,,,,,,,,
,Raytown Bar,53.3417321,-6.2275498,,,,,,,,,,,,,,,,,,,
,John Clarke and Sons,53.3417218,-6.2276614,,,,,,,,,,,,,,,,,,,
,The Lark Inn,53.341684,-6.278673,,,,,,,,,,,,,,,,,,,
,Tim Young's,53.3416494,-6.3568639,,,,,,,,,,,,,,,,,,,
,Clearys,53.3416481,-6.3213608,,,,,,,,,,,,,,,,,,,
,Lemon & Duke,53.341618,-6.259124,,,,,,,,,,,,,,,,,,,
,The Liberty Belle,53.341565,-6.274883,,,,,,,,,,,,,,,,,,,
,The Liberty Bar,53.3414826,-6.2785349,,,,,,,,,,,,,,,,,,,
,The Lord Lucan,53.3413511,-6.4518321,,,,,,,,,,,,,,,,,,,
,Bruxelles,53.3413431,-6.2608849,,,,,,,,,,,,,,,,,,,
,McDaid's,53.3412015,-6.2610492,,,,,,,,,,,,,,,,,,,
,Break for the Border,53.3410955,-6.2641191,,,,,,,,,,,,,,,,,,,
,Platform One,53.3410509,-6.3351801,,,,,,,,,,,,,,,,,,,
,Sheehan's,53.3409542,-6.261812,,,,,,,,,,,,,,,,,,,
,Sure Bar,53.3408345,-6.2681589,,,,,,,,,,,,,,,,,,,
,The Glen of Aherlow,53.3407421,-6.3107255,,,,,,,,,,,,,,,,,,,
,The Fountain,53.3406636,-6.27815,,,,,,,,,,,,,,,,,,,
,J.J. Smyth,53.3405863,-6.2654253,,,,,,,,,,,,,,,,,,,
,37 Dawson Street,53.34052,-6.258678,,,,,,,,,,,,,,,,,,,
,Zozimos,53.340513,-6.259733,,,,,,,,,,,,,,,,,,,
,Coffey's,53.3405122,-6.3144898,,,,,,,,,,,,,,,,,,,
,Brewery Inn,53.3404859,-6.2868779,,,,,,,,,,,,,,,,,,,
,Harry's on the Green,53.340424,-6.263196,,,,,,,,,,,,,,,,,,,
,Richmond House,53.3402486,-6.3168219,,,,,,,,,,,,,,,,,,,
,Delaneys,53.3402121,-6.2655964,,,,,,,,,,,,,,,,,,,
,La Ruelle,53.340197,-6.2588312,,,,,,,,,,,,,,,,,,,
,Sinnott's,53.3400902,-6.2617022,,,,,,,,,,,,,,,,,,,
,The Irishtown House,53.3399687,-6.2231801,,,,,,,,,,,,,,,,,,,
,Shanahan's,53.33975,-6.275659,,,,,,,,,,,,,,,,,,,
,The Lamplighter,53.3397428,-6.2780884,,,,,,,,,,,,,,,,,,,
,The Village Inn,53.3396359,-6.3212189,,,,,,,,,,,,,,,,,,,
,The Black Lion,53.3396154,-6.320788,,,,,,,,,,,,,,,,,,,
C,Dandelion,53.3395917,-6.261278,,,,,,,,,,,,,,,,,,,
,Croughs Pub,53.3395619,-6.3186912,,,,,,,,,,,,,,,,,,,
,Howl at the Moon,53.3391274,-6.2455261,,,,,,,,,,,,,,,,,,,
,Fallon's,53.3389839,-6.2733761,,,,,,,,,,,,,,,,,,,
,Oliver Gleeson & Son,53.3386881,-6.2229321,,,,,,,,,,,,,,,,,,,
,McGrattan's Café Bar,53.3385982,-6.2511535,,,,,,,,,,,,,,,,,,,
,Oil Can Harry's,53.338371,-6.243188,,,,,,,,,,,,,,,,,,,
,Foley's,53.3383173,-6.2537444,,,,,,,,,,,,,,,,,,,
,O'Donoghue's,53.3381797,-6.2542886,,,,,,,,,,,,,,,,,,,
,Ely Wine Bar,53.3379225,-6.2540837,,,,,,,,,,,,,,,,,,,
,Scruffy Murphy's,53.3379124,-6.2428578,,,,,,,,,,,,,,,,,,,
,Karma Stone Bar,53.3374409,-6.2659032,,,,,,,,,,,,,,,,,,,
,Magic Glasses,53.3374044,-6.2634682,,,,,,,,,,,,,,,,,,,
,Slattery's,53.3373041,-6.2342153,,,,,,,,,,,,,,,,,,,
,The Chophouse,53.3370648,-6.2340815,,,,,,,,,,,,,,,,,,,
,Matt the Thresher,53.3370247,-6.2516717,,,,,,,,,,,,,,,,,,,
,Morrissey's,53.3369065,-6.2874547,,,,,,,,,,,,,,,,,,,
,Opium,53.3367018,-6.2656562,,,,,,,,,,,,,,,,,,,
,The Bird Flanagan,53.3365462,-6.299192,,,,,,,,,,,,,,,,,,,
,Kavanagh's,53.3363297,-6.2728689,,,,,,,,,,,,,,,,,,,
,Olive Green,53.3362743,-6.2485692,,,,,,,,,,,,,,,,,,,
,Peadar Browns,53.3362336,-6.2734533,,,,,,,,,,,,,,,,,,,
,café Ballsbridge,53.3362221,-6.2366936,,,,,,,,,,,,,,,,,,,
,Flannery's,53.3361055,-6.2651522,,,,,,,,,,,,,,,,,,,
,McCauley's,53.3360993,-6.2978478,,,,,,,,,,,,,,,,,,,
,Krystle,53.3360106,-6.2634085,,,,,,,,,,,,,,,,,,,
,Hartigan's,53.3359552,-6.2565964,,,,,,,,,,,,,,,,,,,
,Diceys,53.3359505,-6.2633588,,,,,,,,,,,,,,,,,,,
,The Palace,53.3359232,-6.265508,,,,,,,,,,,,,,,,,,,
,Marble Arch,53.3358378,-6.3120274,,,,,,,,,,,,,,,,,,,
,Everleigh Garden,53.3351615,-6.2634856,,,,,,,,,,,,,,,,,,,
,Alfie Byrnes,53.334817,-6.2575719,,,,,,,,,,,,,,,,,,,
,The Black Horse Inn,53.3346403,-6.3276072,,,,,,,,,,,,,,,,,,,
,The Black Horse,53.3346025,-6.3276059,,,,,,,,,,,,,,,,,,,
,Leggs pub,53.3341764,-6.254773,,,,,,,,,,,,,,,,,,,
,House Dublin,53.3340114,-6.2551589,,,,,,,,,,,,,,,,,,,
,The Wellington,53.3338604,-6.245307,,,,,,,,,,,,,,,,,,,
,Lowes Bar,53.333764,-6.2906371,,,,,,,,,,,,,,,,,,,
,Odeon,53.3333475,-6.262368,,,,,,,,,,,,,,,,,,,
,C Central,53.3331138,-6.2647717,,,,,,,,,,,,,,,,,,,
,O'Reilly,53.3327685,-6.2152588,,,,,,,,,,,,,,,,,,,
,Ryans Sandymount House,53.3324339,-6.2153693,,,,,,,,,,,,,,,,,,,
,The Headline Bar,53.3323927,-6.2754619,,,,,,,,,,,,,,,,,,,
,Den Bar,53.3322511,-6.2412802,,,,,,,,,,,,,,,,,,,
,The Barn House,53.3322249,-6.2927681,,,,,,,,,,,,,,,,,,,
,Leonard's Corner,53.3321576,-6.2753834,,,,,,,,,,,,,,,,,,,
,The Bridge House,53.331802,-6.294492,,,,,,,,,,,,,,,,,,,
,The Sussex Bar (M. O'Brien),53.3313809,-6.2516835,,,,,,,,,,,,,,,,,,,
,Charlemont Bar & Bistro,53.3309476,-6.259287,,,,,,,,,,,,,,,,,,,
,J. O'Connell,53.3306607,-6.2641189,,,,,,,,,,,,,,,,,,,
,Rain,53.3304476,-6.2640813,,,,,,,,,,,,,,,,,,,
,MVP,53.3304221,-6.275613,,,,,,,,,,,,,,,,,,,
,The Harold House,53.3300206,-6.2752027,,,,,,,,,,,,,,,,,,,
,The Waterside,53.3286777,-6.3964111,,,,,,,,,,,,,,,,,,,
,The Gate Bar,53.3286432,-6.3033621,,,,,,,,,,,,,,,,,,,
,Horse Show House,53.3284885,-6.2289402,,,,,,,,,,,,,,,,,,,
,Shearys,53.328038,-6.304945,,,,,,,,,,,,,,,,,,,
,The Old County,53.3273937,-6.3060022,,,,,,,,,,,,,,,,,,,
,Tap House,53.3251267,-6.254258,,,,,,,,,,,,,,,,,,,
,The Four Roads,53.3244717,-6.2964335,,,,,,,,,,,,,,,,,,,
,Smyths of Ranelagh,53.324191,-6.252381,,,,,,,,,,,,,,,,,,,
,The Longmile Inn,53.3241703,-6.3290473,,,,,,,,,,,,,,,,,,,
,Eleanora's,53.3241269,-6.3254374,,,,,,,,,,,,,,,,,,,
,The Blackforge Inn,53.3239923,-6.3264132,,,,,,,,,,,,,,,,,,,
,The Halfway House,53.3238179,-6.328425,,,,,,,,,,,,,,,,,,,
,Boomers,53.3235135,-6.3792415,,,,,,,,,,,,,,,,,,,
,Kielys,53.322212,-6.2365571,,,,,,,,,,,,,,,,,,,
,Arthur Maynes,53.3216556,-6.2352771,,,,,,,,,,,,,,,,,,,
,Quinlan's,53.3215095,-6.393197,,,,,,,,,,,,,,,,,,,
,The Village,53.3211955,-6.3932185,,,,,,,,,,,,,,,,,,,
,The Laurels,53.3210417,-6.3925962,,,,,,,,,,,,,,,,,,,
,The Steering Wheel,53.3207853,-6.3941733,,,,,,,,,,,,,,,,,,,
,The Hub (The Shaw Arms),53.3206892,-6.3162604,,,,,,,,,,,,,,,,,,,
,The Stone Boat,53.3206556,-6.2921497,,,,,,,,,,,,,,,,,,,
C,Rosie O'Grady,53.320137,-6.278921,,,,,,,,,,,,,,,,,,,
,The Horse Shoe,53.3200915,-6.3161146,,,,,,,,,,,,,,,,,,,
,Frehill's Tavern,53.3195865,-6.3131108,,,,,,,,,,,,,,,,,,,
,Mc Evoys,53.3181305,-6.5187097,,,,,,,,,,,,,,,,,,,
,The Kestrel House,53.3174091,-6.3323303,,,,,,,,,,,,,,,,,,,
,The Cherry Tree Pub,53.3164631,-6.3327284,,,,,,,,,,,,,,,,,,,
,The Submarine,53.3161733,-6.3173858,,,,,,,,,,,,,,,,,,,
,Rory O'Connor's,53.3159336,-6.3173081,,,,,,,,,,,,,,,,,,,
,The Black Horse Inn,53.3145684,-6.3000531,,,,,,,,,,,,,,,,,,,
,KCR House,53.3141966,-6.2964378,,,,,,,,,,,,,,,,,,,
,O'Sheas,53.314129,-6.2387996,,,,,,,,,,,,,,,,,,,
,P.J. Branagan's Pub,53.3125386,-6.2021347,,,,,,,,,,,,,,,,,,,
C,Coman's,53.312007,-6.2748056,,,,,,,,,,,,,,,,,,,
,The Terenure Inn,53.3113561,-6.2830549,,,,,,0,,,,,,,,,,,,,
,The Two Sisters,53.3090557,-6.3052695,,,,,,,,,,,,,,,,,,,
,The Punch Bowl,53.3087656,-6.1966601,,,,,,,,,,,,,,,,,,,
,UCD Clubhouse Bar,53.3081294,-6.2270405,,,,,,,,,,,,,,,,,,,
,The Laurels,53.3079564,-6.3195456,,,,,,,,,,,,,,,,,,,
,The Kingswood Lodge,53.3074073,-6.3672745,,,,,,,,,,,,,,,,,,,
,The Pines,53.3073383,-6.3188972,,,,,,,,,,,,,,,,,,,
,Traders,53.3068903,-6.33728,,,,,,,,,,,,,,,,,,,
,Gleesons of Booterstown,53.3054689,-6.197606,,,,,,,,,,,,,,,,,,,
,The Student Bar,53.3050518,-6.220358,,,,,,,,,,,,,,,,,,,
,Kynes,53.3036457,-6.2454947,,,,,,,,,,,,,,,,,,,
,Wicked Wolf,53.3019062,-6.1779873,,,,,,,,,,,,,,,,,,,
,The Belgard,53.3018277,-6.3785768,,,,,,,,,,,,,,,,,,,
,Conways,53.3017772,-6.1781655,,,,,,,,,,,,,,,,,,,
,Ryans Arbour House,53.3017485,-6.2455706,,,,,,,,,,,,,,,,,,,
,Coco's,53.3017284,-6.3783724,,,,,,,,,,,,,,,,,,,
,The Breffini,53.3016547,-6.1776352,,,,,,,,,,,,,,,,,,,
,The Three Tun Tavern,53.3006696,-6.1770232,,,,,,,,,,,,,,,,,,,
,The Dark Horse,53.2998605,-6.1796235,,,,,,,,,,,,,,,,,,,
,The Gondola,53.2997394,-6.5010254,,,,,,,,,,,,,,,,,,,
,The Glenside,53.2997297,-6.2680345,,,,,,,,,,,,,,,,,,,
,The Sarah Curran,53.2988922,-6.2863294,,,,,,,,,,,,,,,,,,,
,The Castle Inn,53.2984409,-6.2854688,,,,,,,,,,,,,,,,,,,
,The Revels,53.2983302,-6.2855664,,,,,,,,,,,,,,,,,,,
,The Morgue,53.2982759,-6.3028112,,,,,,,,,,,,,,,,,,,
,The Yellow House,53.2967,-6.284926,,,,,,,,,,,,,,,,,,,
,Kennedys Bar,53.296478,-6.211426,,,,,,,,,,,,,,,,,,,
,The Pennyblack,53.2958987,-6.3413013,,,,,,,,,,,,,,,,,,,
,The Purty Loft,53.2952488,-6.1480491,,,,,,,,,,,,,,,,,,,
,Uncle Tom's Cabin,53.2952057,-6.2465187,,,,,,,,,,,,,,,,,,,
,The Purty Kitchen,53.2951939,-6.1481504,,,,,,,,,,,,,,,,,,,
,The Bottle Tower,53.2949868,-6.2568591,,,,,,,,,,,,,,,,,,,
,Gilbert & Wright,53.2947796,-6.141591,,,,,,,,,,,,,,,,,,,
,Beer Traders,53.2946851,-6.1425241,,,,,,,,,,,,,,,,,,,
,The Old Orchard,53.2946757,-6.2993378,,,,,,,,,,,,,,,,,,,
,The Yacht Tavern,53.294621,-6.1392138,,,,,,,,,,,,,,,,,,,
,The Pub,53.2940115,-6.1533954,,,,,,,,,,,,,,,,,,,
,Tim O'Loughlins,53.29395,-6.1400487,,,,,,,,,,,,,,,,,,,
,The Blue Haven,53.2936673,-6.3084273,,,,,,,,,,,,,,,,,,,
,Goggins,53.2935592,-6.1545818,,,,,,,,,,,,,,,,,,,
,D'arcy McGees,53.2934407,-6.3236249,,,,,,,,,,,,,,,,,,,
,Browns Barn Bar & Kitchen,53.2933103,-6.4309252,,,,,,,,,,,,,,,,,,,
,Dunphy's,53.2932133,-6.1387934,,,,,,,,,,,,,,,,,,,
,McKenna's Bar and Lounge,53.2930811,-6.1373066,,,,,,,,,,,,,,,,,,,
,Farrells,53.2928679,-6.1351269,,,,,,,,,,,,,,,,,,,
,The Carlisle Bar,53.2920178,-6.1303418,,,,,,,,,,,,,,,,,,,
,Hardys Bar,53.2919874,-6.1341504,,,,,,,,,,,,,,,,,,,
,Lion Bar and Restaurant,53.2917336,-6.1350302,,,,,,,,,,,,,,,,,,,
,Kozie II,53.2899995,-6.1305927,,,,,,,,,,,,,,,,,,,
,Metro Café & Bar,53.2897005,-6.3650119,,,,,,,,,,,,,,,,,,,
,The Eagle,53.2890571,-6.2431582,,,,,,,,,,,,,,,,,,,
,The Nest,53.2889723,-6.2430683,,,,,,,,,,,,,,,,,,,
,Bolands,53.2886897,-6.1982685,,,,,,,,,,,,,,,,,,,
,O'Dywers,53.288658,-6.2160149,,,,,,,,,,,,,,,,,,,
,Mill House,53.2883233,-6.2047809,,,,,,,,,,,,,,,,,,,
,The Orchard Pub,53.2882164,-6.1969448,,,,,,,,,,,,,,,,,,,
,Winters Bar,53.2881483,-6.2420478,,,,,,,,,,,,,,,,,,,
,The Dragon Inn,53.2880299,-6.3621864,,,,,,,,,,,,,,,,,,,
,Molloy's Foxes Covert,53.2879405,-6.3594067,,,,,,,,,,,,,,,,,,,
,The Wishing Well,53.287642,-6.1777609,,,,,,,,,,,,,,,,,,,
,Level 4 Nightclub,53.287319,-6.3663674,,,,,,,,,,,,,,,,,,,
,The Eagle House,53.2869974,-6.1231836,,,,,,,,,,,,,,,,,,,
,Delaneys,53.2869197,-6.3280429,,,,,,,,,,,,,,,,,,,
,Mortons,53.2867649,-6.3318195,,,,,,,,,,,,,,,,,,,
,P. Cormack and Sons,53.2863251,-6.1457168,,,,,,,,,,,,,,,,,,,
,The Farmhouse Inn,53.2862266,-6.1560472,,,,,,,,,,,,,,,,,,,
,Fitzgeralds,53.2859678,-6.1186135,,,,,,,,,,,,,,,,,,,
,Fortunestown Inn,53.2851336,-6.407559,,,,,,,,,,,,,,,,,,,
,The Willows,53.2842099,-6.2508159,,,,,,,,,,,,,,,,,,,
,Buglers,53.2839949,-6.2953102,,,,,,,,,,,,,,,,,,,
,Speaker Connolly,53.2819469,-6.341058,,,,,,,,,,,,,,,,,,,
,Muldowneys,53.2818989,-6.4660302,,,,,,,,,,,,,,,,,,,
,The Baurnafea House,53.281198,-6.4690965,,,,,,,,,,,,,,,,,,,
,An Poitin Stil,53.2811723,-6.476985,,,,,,,,,,,,,,,,,,,
,The Eden House,53.281142,-6.2756858,,,,,,,,,,,,,,,,,,,
,Rathcoole Inn,53.2811356,-6.4703604,,,,,,,,,,,,,,,,,,,
,Bakers Corner,53.2805661,-6.1577501,,,,,,,,,,,,,,,,,,,
,Jacobs,53.2805016,-6.4445633,,,,,,,,,,,,,,,,,,,
,The Leopardstown Inn,53.2792343,-6.1967656,,,,,,,,,,,,,,,,,,,
,The Grange,53.2787698,-6.1636218,,,,,,,,,,,,,,,,,,,
,Furry Bog,53.2781783,-6.2882026,,,,,,,,,,,,,,,,,,,
,The Queen's,53.2781325,-6.1050636,,,,,,,,,,,,,,,,,,,
,Aherns,53.2779386,-6.3582424,,,,,,,,,,,,,,,,,,,
,Ivory,53.2778184,-6.1072649,,,,,,,,,,,,,,,,,,,
,Jobstown House,53.2777263,-6.3966456,,,,,,,,,,,,,,,,,,,
,The King's Inn,53.2774773,-6.1048921,,,,,,,,,,,,,,,,,,,
,The Club Lounge,53.2773116,-6.1025756,,,,,,,,,,,,,,,,,,,
,The Magpie,53.2770582,-6.1030543,,,,,,,,,,,,,,,,,,,
,The Sallymoggin Inn,53.2769391,-6.1433868,,,,,,,,,,,,,,,,,,,
,Ollie's Bar and Lounge Snadyford,53.2767305,-6.2240158,,,,,,,,,,,,,,,,,,,
,Crystal Bar,53.2766653,-6.2206564,,,,,,,,,,,,,,,,,,,
,Finnegan's,53.2764631,-6.1029636,,,,,,,,,,,,,,,,,,,
,The Coach House,53.2763613,-6.2491402,,,,,,,,,,,,,,,,,,,
,The Copper Bar / Holy Cow Steakhouse,53.2763595,-6.2165054,,,,,,,,,,,,,,,,,,,
,The Old Mill,53.2751247,-6.354174,,,,,,,,,,,,,,,,,,,
,Scholars,53.2750936,-6.3449534,,,,,,,,,,,,,,,,,,,
,The Ballinteer House,53.2747643,-6.2545959,,,,,,,,,,,,,,,,,,,
,Kiltipper Pub,53.2717195,-6.3715716,,,,,,,,,,,,,,,,,,,
,Sandyford House,53.2696974,-6.2250267,,,,,,,,,,,,,,,,,,,
,Magic Carpet,53.268462,-6.166811,,,,,,,,,,,,,,,,,,,
,Taylor's Three Rock,53.2683869,-6.2621044,,,,,,,,,,,,,,,,,,,
,Three Rock Pub,53.2682917,-6.2620236,,,,,,,,,,,,,,,,,,,
,Graduate,53.2671062,-6.1356015,,,,,,,,,,,,,,,,,,,
,The Gables,53.2670339,-6.1843362,,,,,,,,,,,,,,,,,,,
,Lamb Doyles,53.2644665,-6.2403847,,,,,,,,,,,,,,,,,,,
,Druid's Chair Pub,53.2644517,-6.1153463,,,,,,,,,,,,,,,,,,,
,The Merry Ploughboy,53.264145,-6.2969028,,,,,,,,,,,,,,,,,,,
,Horse and Hound,53.2609449,-6.1501647,,,,,,,,,,,,,,,,,,,
,The Gallops,53.2582331,-6.1974199,,,,,,,,,,,,,,,,,,,
,The Blue Light,53.2546389,-6.2313642,,,,,,,,,,,,,,,,,,,
,The Step Inn,53.2530927,-6.2140297,,,,,,,,,,,,,,,,,,,
,The Lough Inn,53.2466599,-6.1288753,,,,,,,,,,,,,,,,,,,
,The Silver Tassie,53.2451122,-6.1349115,,,,,,,,,,,,,,,,,,,
,Golden Ball,53.2395424,-6.1967578,,,,,,,,,,,,,,,,,,,
,Blue Gardenia,53.2368734,-6.4547751,,,,,,,,,,,,,,,,,,,
,Johnnie Fox's,53.2217392,-6.2192501,,,,,,,,,,,,,,,,,,,
